Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
Intel HD Graphics 4000,Ivy Bridge,Gen. 7 Ivy Bridge,350,1350,,64/128,,,11,3.1,22,4650,~3.467%,44323.5n2,3282.5n56,3768.5n56,603n125,523n121,444n45,480n46,,,2959n122,4412.5n140,15220n8,39n7,,,,,,7.35n4,,11.91n2,5157n121,537n19,66n13
AMD Radeon HD 6620G,Llano,Terascale 2,400,,,,,,11,,32,4566,~5.625%,,,,726.5n4,650n2,,,,,2442.5n4,3595.5n2,15023,,,,,,,,,,3379n3,,
AMD Radeon R4 (Stoney Ridge),Stoney Ridge,GCN 1.2/2.0,,600,,64,,,12 (FL 12_0),4.4,28,2753,~1.983%,42677n3,2458n3,3416n3,1003.5n4,972.5n4,383n3,583n3,228n2,205n2,2542,4246.5n2,,57.2n2,18.5n2,22.65n2,,,,8.35n2,2.95n2,18.6n4,2881n3,612n2,180.5n2
AMD Radeon R5 (Beema/Carrizo-L),Beema,GCN 1.1,,850,,64,,,12 (FL 12_0),,28,3517,~2.158%,36807,2882n7,3317n7,831n9,764n9,510n7,539n7,,,2698,4956n2,,51,,,,,,,,17n9,2779n7,494.5n2,149
AMD Radeon R4 (Beema),Beema,GCN 1.1,800,,,64,,,12 (FL 12_0),,28,3517,~254%,29548,2825n7,3309n7,788n8,716n7,472n7,497n7,,,2506,4046,,,,,,,,,,16.04n7,3092.5n6,445,136.5n2
AMD Radeon R4 (Kaveri),Kaveri,GCN 1.1,533,,,64/128,,,12 (FL 12_0),,28,3481,~1.663%,26079,2034n2,3371.5n2,658n3,611n2,404.5n2,433.5n2,,,1958,3179,,36.2,14.4,,,,,,,12.71n2,3108n2,443,137
AMD Radeon R3 (Mullins/Beema),Beema/Mullins,GCN 1.1,350,686,,64,,,12 (FL 12_0),,28,3517,~1.654%,,2391n4,3049n4,686n6,620n4,396.5n4,419.5n4,,,1814.5n2,4010n3,,,11.7n3,,,,,,,14.36n4,2908n4,379n3,108n3
AMD Radeon R2 (Stoney Ridge),Stoney Ridge,GCN 1.2/2.0,,600,,64,,,12 (FL 12_0),4.4,28,2753,~1.775%,38046.5n2,2092.5n2,3321.5n2,774.5n2,730.5n2,463n2,511.5n2,,,2136,3809,,42.7,16.5,13.2,,,,7.7,2.8,15.07n2,3619n2,432,113
Intel HD Graphics (Broadwell),Broadwell GT1,Gen. 8 Broadwell,100,850,,64/128,,,12 (FL 11_1),4.3,14,3266,~1.963%,,3398,4015,729,641,428,463,,,2651,5077,,47.12,21.52,17.41,,,,,,17.78,4886,374,182
Intel HD Graphics 4200,Haswell GT2,Gen. 7.5 Haswell,200,850,,64/128,,,11.1,4.0,22,3845,~258%,41579,3027n13,3807n13,712n12,638n13,394.5n12,431.5n12,,,2537.5n2,3383n7,,37.5n4,,,,,,,,16.95n7,4514n9,486n2,176.5n2
Intel HD Graphics (Skylake),Skylake GT1,Gen. 9 Skylake,300,800,,64/128,DDR3L/LPDDR3,,12_1,4.4,14,3027,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 7500G,Trinity,Terascale 3,327,424,,,,,11,4.2,32,4231,~246%,,2080,4333,604.5n4,585,462,512,,,2404.5n2,4810n2,,,,,,,,,,,3876n2,389,95
AMD Radeon HD 8450G,Richland,Terascale 3,533,720,,,,,11,4.2,32,3930,~2.158%,55358,2345.5n4,3168.5n4,787n3,724n3,411n4,464.5n4,,,2114n2,3868n2,,65,,,,,,,,18.25n2,4494n3,423,94
AMD Radeon HD 7470M,Seymour XT / XTX,Terascale 2,750 / 800,,3200 / 1800,64,DDR3/GDDR5,512,11,,40,4391,~1.829%,,,,566n2,522n2,,,,,1739.5n2,3624.5n2,,,,,,,,,,,3773.5n2,390,92
AMD Radeon HD 6490M,Seymour XT,Terascale 2,700 / 750 / 800,,800,64,DDR3/GDDR5,512,11,,40,4726,~10.925%,,,,681n4,601n3,,,,,2511n4,5571n4,33338,,,,,,,,,,6754n11,,
AMD Radeon HD 8410G,Trinity,TeraScale 3,450,600,,,,,11,4.2,32,3858,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 8400,Kabini,GCN,600,,,,,,11.1,,28,3858,~1.858%,36156,2633n5,2883n5,686.5n4,614n4,377n4,401n4,,,2013,3532n2,,36n2,,,,,,,,13.25n4,3010n3,363.5n2,107
NVIDIA GeForce GT 520MX,N12P-GVR,Fermi,900,,900,64,DDR3,1024,11,,40,4582,~3.121%,,,,666n2,596.5n2,,,,,2619.5n2,5296n2,,,,,,,,,,,4655n2,,
AMD Radeon HD 7520G,Trinity,Terascale 3,497,686,,,,,11,4.2,32,4214,~2.333%,,2148,3185,608n3,559n3,,,,,2045n3,4332n3,,,,,,,,,,,5073n3,,70
NVIDIA GeForce GT 325M,N11P-GV1,GT2xx,450,,1066,128,"GDDR2, GDDR3, DDR3",1024,10.1,,40,5087,~4.213%,,,,,,,,,,2161n3,5373n3,,,,,,,,,,,3910n4,,
NVIDIA GeForce GT 130M,N10P-GE1,G9x,600,,1066,128,"GDDR2, GDDR3",1024,10,,55,5454,~12.217%,,,,,,,,,,1629n3,4950n4,26293n5,,,,,,,,,,3292n7,,
NVIDIA NVS 4200M,,Fermi,810,,800,64,DDR3,1024,11,,40,4679,~321%,,,,572n7,507n7,,,,,2298n7,4929n8,,,,,,,,,,,5185n8,,
NVIDIA GeForce Go 7900 GTX,G71M,G7x,500,,600,256,GDDR3,512,9c,,90,6450,~24.68%,,,,,,,,,,,4503n2,29490n2,,,,,,,,,,,,
NVIDIA Quadro FX 2500M,G71glm,G7x,500,,600,256,GDDR3,512,9c,,90,6651,~23.48%,,,,,,,,,,,4695n2,27600,,,,,,,,,,,,
AMD Radeon HD 8350G,Richland,Terascale 3,514,720,,,,,11,4.2,32,3930,~2.350%,46807,1895,2942,691,624,369,388,,,2463,5139,,,,,,,,,,17.48n2,4647,,71
AMD Radeon HD 8330,Kabini,GCN,500,,,,,,11.1,,28,3858,~1.358%,,2160n11,2672n11,592n9,530n9,327n11,351n11,,,1812.5n8,3334.5n8,,37,,,,,,4.2,,11.96n7,2440.5n12,324.5n2,96
Intel UHD Graphics 600,Gemini Lake,Gen. 9 Gemini Lake,300,700,,64/128,DDR4 / LPDDR4,,12_1,4.4,14,2195,~1.583%,30149n9,3124n20,3435.5n20,647.5n28,578n27,401.5n22,433n21,125n12,109n12,2189n2,3960n9,,37.15n2,19n3,15n3,15.75n2,,,,1.1,16.41n28,3504n13,358n4,129n3
Intel HD Graphics 500,Apollo Lake,Gen. 9 Apollo Lake,300,700,,64/128,,,12_1,4.4,14,2661,~1.467%,24609n8,2116n8,3007n8,530n11,482n11,307n8,362.5n8,,,,3506n3,,42,20,15,16.3,,,,,13n16,2894n8,324n4,79
NVIDIA GeForce 9650M GS,NB9P-GS1,G8x,625,,800,128,"GDDR2?, GDDR3",512,10,,80,5755,~1017%,,,,,,,,,,1786,4830,19924,,,,,,,,,,3761,,
NVIDIA GeForce 9650M GT,NB9P-GT,G9x,550,,800,128,"GDDR2, GDDR3",1024,10,,55,5596,~11.117%,,,,,,,,,,1306,4880n5,23209n5,,,,,,,,,,3632n5,,
NVIDIA GeForce 8700M GT,NB8E-SE,G8x,625,,800,128,GDDR3,512,10,,80,6030,~11.917%,,,,,,,,,,2026,4804n4,24971n3,,,,,,,,,,3586,,
NVIDIA Quadro FX 1700M,NB9P-GLM,G9x,625,,800,128,GDDR3,256,10,,65,5553,~21.713%,,,,,,,,,,,6302,35734,,,,,,,,,,6159,,
NVIDIA Quadro FX 1600M,NB8P-GLM,G8x,625,,800,128,GDDR3,512,10,,80,6041,~20.513%,,,,,,,,,,,4915.5n2,35198n3,,,,,,,,,,4885n3,,
NVIDIA GeForce Go 7800 GTX,G70M,G7x,440,,550,256,GDDR3,512,9c,,110,6651,~20.88%,,,,,,,,,,,4000,24800,,,,,,,,,,,,
NVIDIA GeForce Go 7900 GS,G71M,G7x,375,,500,256,GDDR3,512,9c,,90,6450,~19.68%,,,,,,,,,,,3519n2,23613.5n4,,,,,,,,,,,,
NVIDIA Quadro NVS 320M,G84M,G8x,575,,700,128,"GDDR3, GDDR2",512,10,,80,6033,~24.88%,,,,,,,,,,,4769,29508n2,,,,,,,,,,,,
NVIDIA Quadro FX 1500M,G71GLM,G7x,375,,500,256,GDDR3,512,9c,,90,6450,~21.98%,,,,,,,,,,,4074,26279,,,,,,,,,,,,
NVIDIA GeForce 9600M GT,NB9P-GS,G9x,500,,800,128,"GDDR2, GDDR3",1024,10,,65,5672,~12.517%,,,,,,,,,,1459n5,5174n10,26648.5n14,,,,,,,,,,3535n19,,
NVIDIA GeForce GT 220M,G96M,GT2xx,500,,800,128,"GDDR2, GDDR3",1024,10,,65,5234,~9.117%,,,,,,,,,,1378,4010,18684n3,,,,,,,,,,3065n2,,
NVIDIA Quadro FX 770M,NB9P-GLM,G9x,500,,800,128,GDDR2 / GDDR3,512,10,,65,5601,~20.813%,,,,,,,,,,,5296.5n2,34871,,,,,,,,,,6180,,
NVIDIA GeForce GT 120M,N10P-GV1,G9x,500,,1000,128,"GDDR2, GDDR3",1024,10,,55,5420,~14.313%,,,,,,,,,,,5225n3,22385,,,,,,,,,,4267,,
AMD Radeon HD 7450M,Seymour-PRO,Terascale 2,700,,1800,64,"DDR3, GDDR5",,11,,40,4328,~2.621%,,,,652n2,581.5n2,,,,,2280.5n2,4346.5n2,,,,,,,,,,,3513,,
NVIDIA GeForce 610M,N13M-GE,Fermi,672,900,1800,64,DDR3,,11,4.0,40,4392,~2.821%,,,,582n4,507.5n4,,,,,2210n4,4598n4,,,,,,,,,,,5053n4,,
NVIDIA GeForce 705M,,Fermi,775,,1800,64,DDR3,,11,4.0,40,3849,,,,,,,,,,,,,,,,,,,,,,,,,
Intel HD Graphics 405 (Braswell),Braswell,Gen. 8,320,700,,64/128,,,11.2,,14,2814,~1.367%,23763n2,1933n4,2113n4,537n7,473n7,237.5n2,254.5n2,,,2081,2920n2,,41.3,20.3,20.3,,,,,,14.11n7,2753n4,390.5n2,102.5n2
Intel HD Graphics (Braswell),Braswell,Gen. 8,320,700,,64/128,,,11.2,,14,3180,~0.963%,,1529n15,2193n15,436n17,395n17,238n13,261n13,,,1479,1311,,33,16.1,12.5,,,,,,12.31n17,2284n15,306,80.5n2
Intel HD Graphics 400 (Braswell),Braswell,Gen. 8,320,640,,64/128,,,11.2,,14,2814,~1.154%,20277n6,1457n7,1841n7,397n11,349n11,188n2,218n2,,,,2474,,29n2,16n2,10.6n2,,,,,,11.32n11,2052.5n6,,
AMD Radeon HD 6470M,Seymour XT,Terascale 2,700 / 750,,800,64,DDR3,1024,11,,40,4726,~925%,,,,595n16,535n15,,,,,1706n11,4502n11,27881.5n4,,,,,,,,,,5316n13,,
AMD FirePro M3900,Seymour XT,Terascale 2,700,750,900,64,DDR3,1024,11,4.1,40,4629,~4.38%,,,,617,,,,,,,4997,,,,,,,,,,,,,
NVIDIA GeForce GT 520M,N12P-GP/LV,Fermi,740 / 600,,800 / 900,64 / 128,DDR3 (GDDR5),1536,11,,40,4727,~7.425%,,,,568.5n12,502n12,,,,,2280n11,4742.5n8,20926n3,,,,,,,,,,4960n12,,
AMD Radeon HD 7420G,Trinity,Terascale 3,480,655,,,,,11,4.2,32,4214,~1.550%,,1963,2717,501,453,332,343,,,1718,3751n2,,,,,,,,,,13.07,4220n2,332,67
ATI Mobility Radeon HD 3670,M86XT,RV6xx,680,,800,128,DDR2/GDDR3/GDDR4,,10.1,,55,5821,~11.517%,,,,,,,,,,1277,4389.5n4,24532n2,,,,,,,,,,4145n2,,
ATI Mobility FireGL V5725,M86GL,RV6xx,680,,800,128,,,10.1,,55,5461,,,,,,,,,,,,,,,,,,,,,,,,,
Intel HD Graphics (Haswell),Haswell GT1,Gen. 7.5 Haswell,200,1000,,64/128,,,11.1,,22,4092,~1.767%,43493,2335.5n6,3278n6,544n7,484n7,314n6,362.5n6,,,2163n2,3357.5n4,,53.5,28.7,20.1,,,,,,13.92n4,4215.5n4,370n2,140n2
AMD Radeon HD 6520G,Llano,Terascale 2,400,,,,,,11,,32,4566,~2.121%,,,,549.5n2,492,,,,,1678n5,3322n3,,,,,,,,,,,3494n3,,
AMD Radeon HD 8310G,Trinity,TeraScale 3,424,554,,,,,11,4.2,32,3858,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce 320M,MCP89,GT2xx,450,,,,,,10.1,,40,5006,~6.921%,,,,,,,,,,1852n5,4229.5n4,16219n2,,,,,,,,,12.6,3206n4,,
NVIDIA GeForce GT 320M,,GT2xx,500,,790,128,DDR3,1024,10.1,,40,5076,~48%,,,,,,,,,,1205,4706,,,,,,,,,,,,,
ATI Mobility Radeon HD 2600 XT,M76-XT,RV6xx,700,,750,128,"DDR2, GDDR3",256,10,,65,6059,~11.217%,,,,,,,,,,1159,4179n2,24515,,,,,,,,,,3362n2,,
ATI Mobility Radeon X1900,M59,,400,,470,256,DDR1/DDR2/GDDR3,256,9c,,80,6182,~21.28%,,,,,,,,,,,3460n3,25914,,,,,,,,,,,,
ATI Mobility Radeon X1800XT,"M58, R520",,550,,650,256,GDDR3,,9c,,90,6498,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon X1800,M58,,450,,500,256,GDDR3,,9c,,90,6498,~15.78%,,,,,,,,,,,2681,19000,,,,,,,,,,,,
NVIDIA GeForce Go 6800 Ultra,NV41M,,450,,600,256,DDR3,256,9c,,130,6867,~198%,,,,,,,,,,,2500,23800,,,,,,,,,,,,
NVIDIA GeForce Go 7800,G70M,G7x,400,,550,256,GDDR3,256,9c,,110,6498,~15.78%,,,,,,,,,,,2200,19500,,,,,,,,,,,,
NVIDIA GeForce 9600M GS,NB9P-GE,G9x,430,,800,128,"GDDR2, GDDR3",1024,10,,65,5672,~1117%,,,,,,,,,,1135,4382.5n2,23837.5n4,,,,,,,,,,3076n3,,
NVIDIA GeForce 9500M GS,NB9P-GE1,G8x,475,,700,128,GDDR2 / GDDR3,512,10,,80,5796,~9.617%,,,,,,,,,,863,3705.5n4,20861n5,,,,,,,,,,3161n3,,
AMD Radeon HD 7400G,Trinity,Terascale 3,327,423,,,,,11,4.2,32,4122,~1.538%,,1586,2424,454,415,245,327,,,,2931,,,,,,,,,,,3866,316,
AMD Radeon HD 6480G,Llano,Terascale 2,444,,,,,,11,,32,4566,~1.829%,,1646,,513n3,467n2,155,,,,1578n4,3497n3,,,,,,,,,,,3655n3,,
ATI Mobility Radeon HD 2700,M76-XT,RV6xx,700,,700,128,"DDR2, GDDR3",256,10,,65,5847,~18.78%,,,,,,,,,,,4067.5n2,21740,,,,,,,,,,,,
NVIDIA GeForce GT 415M,N11P-GV,Fermi,500,,800,128,(G)DDR3,,11,,40,4851,~2.617%,,,,433,379,,,,,,4193.5n2,,,,,,,,,,,3922,,
NVIDIA GeForce 410M,N12M-GS,Fermi,575,,800,64,DDR3,,11,,40,4726,~6.925%,,,,477n5,415n4,,,,,1922.5n2,4035n4,20641,,,,,,,,,,3399n5,,
AMD Radeon HD 7370M,Robson XT,Terascale 2,750,,1600,64,DDR3,1024,11,,40,4360,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R2 (Mullins/Beema/Carrizo-L),Beema/Mullins,GCN 1.1,300,600,,64,,,12 (FL 12_0),,28,3517,~1.163%,,1980.5n2,2650n2,434.5n6,397n3,350.5n2,373n2,,,1178,3242n2,,36n2,14,12.7,,,,,,9.53n3,1616n3,340.5n2,89n2
AMD Radeon HD 6370M,Robson XT,Terascale 2,750,,800,64,DDR3,1024,11,,40,4767,~9.517%,,,,,,,,,,1319,3999,19638,,,,,,,,,,3875,,
AMD Radeon HD 8280,Temash,GCN,450,,,,,,11.1,,28,3858,~138%,,2054,2515,554,496,303,328,,,,,,,,,,,,,,11,1041,295,
ATI Mobility Radeon HD 5470,Park XT,Terascale 2,750,,1800,64,"DDR2, GDDR2, DDR3, GDDR3, GDDR5",,11,,40,5090,~9.817%,,,,,,,,,,1269.5n16,3683.5n16,20743n10,,,,,,,,,,4042n16,,
AMD Radeon HD 6450M,Seymour-PRO,Terascale 2,600,,800,64,DDR3,,11,,40,4728,~2.521%,,,,506.5n2,443,,,,,1394.5n2,3845.5n2,,,,,,,,,,,5804,,
AMD Radeon HD 7430M,Seymour-PRO,Terascale 2,600,,1800,64,DDR3,,11,,40,4358,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon HD 3650,M86,RV6xx,600,,700,128,DDR2/GDDR3/GDDR4,,10.1,,55,5821,~10.317%,,,,,,,,,,855n3,3360n7,23042n10,,,,,,,,,,3291n8,,
ATI Mobility FireGL V5700,M86-GL,RV6xx,600,,700,128,DDR2/GDDR3/GDDR4,,10.1,,55,5821,~11.517%,,,,,,,,,,1017,4270.5n2,24429,,,,,,,,,,5049,,
ATI Mobility Radeon HD 5145,,Terascale 1,720,,900,64,"DDR3, GDDR3",,10.1,,55,5090,~917%,,,,,,,,,,1248n3,3661n3,18387.5n4,,,,,,,,,,4014.5n4,,
ATI Mobility Radeon HD 545v,,Terascale 1,720,,800,64,"GDDR3, DDR3, DDR2",,10.1,,55,4972,~9.317%,,,,,,,,,,1215n2,3760n2,19162n3,,,,,,,,,,4297n3,,
AMD Radeon HD 8240,Temash,GCN,400,,,,,,11.1,,28,3858,~1.150%,,1501,2273,458.5n2,427.5n2,265.5n2,292.5n2,,,1377,2636,,,,,,,,,,9.55,2198,272,32
AMD Radeon R6 (Mullins),Mullins,GCN 1.1,500,,,64,,,12 (FL 12_0),,28,3517,~1.621%,20511,1900,2258,582,,302,,,,,,,,,,,,,,,,,,
AMD Radeon HD 8250,Temash,GCN,300,400,,,,,11.1,,28,3849,~1.150%,,1636n2,1965n2,468n2,422.5n2,234.5n2,253.5n2,,,1317n2,2570n2,,,,,,,,3.7,,,1895n2,275,54
Intel HD Graphics (Cherry Trail),Cherry Trail,Gen. 8,200,600,,64/128,,,12 (FL 11_1),4.3,14,3210,~167%,19303n7,1488n7,1783.5n8,343n23,298n22,248n5,225n3,,,,2595n5,,32n7,13.5n6,11n6,,,,,1.2,9.66n17,1973n16,277,89n3
ATI Mobility Radeon HD 4570,M92-XT,Terascale 1,680,,800,64,"GDDR3, DDR2, DDR3",,10.1,,55,5453,~8.417%,,,,,,,,,,1151n6,3633n7,17062n10,,,,,,,,,,3689n13,,
NVIDIA Quadro FX 570M,G64GLM,G8x,475,,700,128,GDDR3,256,10,,80,6041,~15.913%,,,,,,,,,,,3800,26907.5n2,,,,,,,,,,4534,,
ATI Mobility Radeon HD 5450,Park Pro,Terascale 2,675,,800,64,DDR3,,11,,40,5090,~5.64%,,,,,,,,,,,3775.5n2,,,,,,,,,,,,,
NVIDIA GeForce 8600M GT,G84M,G8x,475,,700,128,"GDDR3, GDDR2",512,10,,80,6033,~1017%,,,,,,,,,,1040,3277n10,22231.5n22,,,,,,,,,,3006.5n14,,
ATI Mobility Radeon HD 2600,M76,RV6xx,500,,600,128,"DDR2, GDDR3",256,10,,65,6059,~9.513%,,,,,,,,,,,3177,15324n5,,,,,,,,,,2575n3,,
Intel HD Graphics 3000,Sandy Bridge,Gen. 6 Sandy Bridge,350,1350,,64/128,,,10.1,3.0,32,4700,~5.125%,,2656.5n4,2502.5n4,,,,,,,1568n91,3286.5n112,11654n17,,,,,,,,,,4414n114,,
NVIDIA Quadro FX 380M,n10m-glm,GT2xx,625,,800,64,"GDDR3, DDR3",512,10.1,,40,5090,~5.44%,,,,,,,,,,,3687,,,,,,,,,,,,,
NVIDIA GeForce 310M,N11M-GE1,GT2xx,606 / 625,,800,64,"GDDR3, DDR3",512,10.1,,40,5087,~7.617%,,,,,,,,,,1123n15,3206n17,15456.5n14,,,,,,,,,,3175n26,,
NVIDIA GeForce G210M,N10M-GS,GT2xx,625,,800,64,"GDDR2, GDDR3",512,10.1,,40,5296,~5.129%,,1536,1805,,,,,,,1021n3,3047,17585n3,,,,,,,,,7.53,2607.5n4,,
NVIDIA NVS 3100M,N10M-NS,GT2xx,600,,800,64,"GDDR3, DDR3",512,10.1,,40,5090,~10.517%,,,,,,,,,,1120.5n6,3257n7,23455.5n4,,,,,,,,,,3374.5n10,,
NVIDIA GeForce 405M,,GT2xx,606,,1600,64,"GDDR3, DDR3",512,10.1,,40,4235,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce 315M,N11M-GE,GT2xx,606,,790,64,"GDDR3, DDR3",512,10.1,,40,4762,~7.417%,,,,,,,,,,1108.5n2,3267n2,14749,,,,,,,,,,3787n2,,
NVIDIA GeForce Go 7600 GT,G73M,,500,,600,128,"GDDR3, GDDR2, GDDR1",256,9c,,90,6345,~17.18%,,,,,,,,,,,2833,20865n2,,,,,,,,,,,,
NVIDIA GeForce 9500M G,NB9P,G9x,500,,800,128,"GDDR2, GDDR3",1024,10,,65,5672,~8.913%,,,,,,,,,,,3435n2,13926n2,,,,,,,,,,2220.5n2,,
NVIDIA GeForce 8600M GS,G84M,G8x,600,,700,128,"GDDR3, GDDR2",512,10,,80,6033,~1013%,,,,,,,,,,,3027.5n2,16193n8,,,,,,,,,,3131.5n2,,
NVIDIA NVS 2100M,,GT2xx,535,,800,64,"GDDR3, DDR3",512,10.1,,40,5090,~9.117%,,,,,,,,,,992,2971,20085.5n2,,,,,,,,,,3084n2,,
NVIDIA GeForce Go 7700,G73M-B1,,450,,500,128,"GDDR3, GDDR2, GDDR1",512,9c,,80,6345,~188%,,,,,,,,,,,2685.5n4,22170,,,,,,,,,,,,
NVIDIA GeForce Go 6800,NV42M,,300,,300,128 / 256,,256,9c,,130,6867,~18.68%,,,,,,,,,,,1900,23800,,,,,,,,,,,,
NVIDIA Quadro FX Go 1400,NV41M,,330,,500,256,,256,9c,,130,6867,~1.94%,,,,,,,,,,,1306,,,,,,,,,,,,,
ATI Mobility Radeon X800XT,M28Pro,,480,,550,256,,,9b,,130,6764,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6430M,Seymour-LP,Terascale 2,480,,800,64,DDR3,,11,,40,4728,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6380G,Llano,Terascale 2,400,,,,,,11,,32,4566,~3.18%,,,,,,,,,,,2639,,,,,,,,,,,3318,,
ATI Mobility Radeon HD 5430,Park LP,Terascale 2,550,,800,64,"DDR3, GDDR5?",,11,,40,5090,~2.713%,,,,,,,,,,962,3082,,,,,,,,,,,3702,,
AMD Radeon HD 8210,"Temash, Kabini",GCN,300,,,,,,11.1,,28,3858,~158%,26764,1150n6,1904.5n6,370.5n4,343.5n4,209n5,227n5,,,984n3,2177.5n4,,25,,,,,,,,7.69n7,1691n7,241,45n2
ATI Mobility Radeon HD 540v,,Terascale 1,550,,800,64,"GDDR3, DDR3, DDR2",512,10.1,,55,4972,~917%,,,,,,,,,,1008,3494,18743,,,,,,,,,,4286.5n2,,
ATI Mobility Radeon HD 4550,M92,Terascale 1,550,,700,64,"GDDR3, DDR2, DDR3",,10.1,,55,5096,~8.817%,,,,,,,,,,1051n3,3449n3,18299n3,,,,,,,,,,4230n4,,
Intel HD Graphics 2500,Ivy Bridge GT1,Gen. 7 Ivy Bridge,650,1150,,64/128,,,11.0,,22,4275,~4.150%,,2817n4,2604.5n4,430n5,350.5n4,294.5n4,318n4,,,1930.5n6,3816n5,20814,,,,,,,,,,6037n4,286n3,50n3
Intel HD Graphics (Ivy Bridge),Ivy Bridge GT1,Gen. 7 Ivy Bridge,350,1100,,64/128,,,11.0,,22,4092,~2.154%,,1906.5n12,2286n12,370.5n12,315n12,254.5n10,285.5n10,,,1491n11,2930n12,9212n2,27,,,,,,,,,3382n13,275n8,44
AMD Radeon HD 7350M,Robson Pro,Terascale 2,500,,1800,64,DDR3,1024,11,,40,4184,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6350M,Robson Pro,Terascale 2,500,,800-900,64,DDR3,1024,11,,40,4767,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon HD 4530,M92,Terascale 1,500,,700,64,"GDDR3, DDR2, DDR3",,10.1,,55,5453,~2.413%,,,,,,,,,,708,2902,,,,,,,,,,,3441n3,,
ATI Mobility Radeon HD 4350,M92,Terascale 1,450,,600,64,"GDDR3, DDR2, DDR3",,10.1,,55,5453,~9.613%,,,,,,,,,,,3130n4,14875,,,,,,,,,,3914n2,,
ATI Mobility Radeon HD 530v,M92,Terascale 1,450,,600,64,"GDDR3, DDR3, DDR2",,10.1,,55,4972,~4.34%,,,,,,,,,,,2947,,,,,,,,,,,,,
NVIDIA GeForce 305M,n11m-lp1,GT2xx,525,,700,64,"GDDR2, GDDR3, DDR2, DDR3",512,10.1,,40,5087,~4.64%,,,,,,,,,,,3101,,,,,,,,,,,,,
ATI Mobility Radeon X1700,M66-P,,475,,400,128,DDR/DDR2/GDDR3/GDDR4,256,9c,,90,6526,~15.98%,,,,,,,,,,,2139n5,19877.5n4,,,,,,,,,,,,
ATI Mobility FireGL V5250,M56GL,,400,,330,128,DDR/DDR2/GDDR3/GDDR4,256,9c,,90,6192,~2.54%,,,,,,,,,,,1672,,,,,,,,,,,,,
ATI Mobility Radeon X2500,M66,,460,,400,64 / 128,DDR2,256,9c,,80,6041,~11.68%,,,,,,,,,,,2100,13972.5n2,,,,,,,,,,,,
NVIDIA GeForce Go 7600,G73M,,450,,350,128 / 64,"GDDR3, GDDR2, GDDR1",256,9c,,90,6498,~14.58%,,,,,,,,,,,1900n15,18232n12,,,,,,,,,,,,
NVIDIA Quadro NVS 300M,G72GLM,,450,,500,128,GDDR3,,9b,,90,6414,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon X800,M28,,400,,350,128 / 256,"GDDR2, GDDR3",256,9b,,130,6767,~14.78%,,,,,,,,,,,1300,19100,,,,,,,,,,,,
ATI Mobility Radeon X1600,M56,,450,,470,128,DDR/DDR2/GDDR3,256,9c,,90,6526,~13.28%,,,,,,,,,,,1836n13,16479n12,,,,,,,,,,,,
ATI Mobility FireGL V5200,M56GL,,425,,475,128,DDR/DDR2/GDDR3,256,9c,,90,6526,~1.84%,,,,,,,,,,,1203.5n2,,,,,,,,,,,,,
ATI Mobility Radeon 9800,M18,,350,,300,256,DDR2 / DDR3,256,9,,130,7106,~13.58%,,,,,,,,,,,860,17800,,,,,,,,,,,,
NVIDIA GeForce Go 6600,NV43M,,375,,300,128,GDDR2,256,9c,,110,6651,~11.78%,,,,,,,,,,,1150,15000,,,,,,,,,,,,
ATI Mobility Radeon X1450,M54,,550,,450,128,DDR1/DDR2/DDR3,256,9c,,90,6297,~7.98%,,,,,,,,,,,1085n2,9900,,,,,,,,,,,,
ATI Mobility Radeon X700,M26,,350,,350,128,DDR/DDR2,256,9,,110,6903,~11.88%,,,,,,,,,,,735n2,15675.5n2,,,,,,,,,,,,
