Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
AMD Ryzen 5 5600HS,Cezanne-HS (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,35,3000 ‑ 4200,6/12,7,x86,,1072,Vega 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 4600H,Renoir-H (Zen 2),Renoir (Ryzen 4000 APU),3MB + 8MB,,45,3000 ‑ 4000,6/12,7,x86,,1438,Vega 6,~32.7,,5365,32756,2.04,16.25,176,1425,449.5,3229.5,1142.5,8072,10.5,607,,,4380,197,82.9,9.8,5,1.4,0.81,352,631,4397,37642.5,,,,4964,25247,,,1117,6080,1525,6631,,,47137.5,134.35,127.75,207,
Intel Core i7-9850H,Coffee Lake-H,Coffee Lake,1.5MB + 12MB,,45,2600 ‑ 4600,6/12,14,x86,,1690,UHD Graphics 630,~26.8,10056,7169,31938,2.13,12.47,193,1230,439.5,2114,,,8.15,467.6,8.3,278,5621,201.3,68.3,9,7.4,1.2,0.76,415,,5086,31087,,,,5594,23715,1169,5619.5,1150,5270,,,,,39091,,71.6,,
Intel Core i7-9750H,Coffee Lake-H,Coffee Lake,+ 12MB,,45,2600 ‑ 4500,6/12,14,x86,,1690,UHD Graphics 630,~31.3,10791.5,6970,34445,2.12,13.11,185.5,1188,442,2599,,,8.35,467.3,4.93,154.4,6395.5,214.8,70.25,8.83,7.35,1.25,0.73,435.2,,4865,33303,,4252.5,22711.5,5266,22951,1171,5635,1204,5813,,,,84.05,36178,,59.8,208.5,
Intel Core i9-9900T,Coffee Lake-R,Coffee Lake,2MB + 16MB,,35,2100 ‑ 4400,8/16,14,x86,,1894,UHD Graphics 630,~26.2,10259,6758,31357,2.09,12.38,185,1112,440,2626,,,8.77,481,5.88,162.1,6109,173.4,70.3,5.5,4.6,0.83,0.54,422,,4894,35084,,,,5381,23223,1193,5875,1206,5888,,,,,,,,197,
AMD Ryzen 7 2700,Zen+,Ryzen 7,4MB + 16MB,,65,3200 ‑ 4100,8/16,12,x86,,2073,UHD Graphics 750,~26.2,9475,4505,31385,1.78,16.71,161,1551,,,,,11.08,597,5.14,130.5,4440,195.7,89.7,9.51,9,1.4,0.9,308.3,,,,,,,4681,22776,,,1000,6560,,,,,,,,,
AMD Ryzen 7 1800X,Zen,Ryzen 7,4MB + 16MB,,95,3600 ‑ 4000,8/16,14,x86,,2479,UHD Graphics 750,~30.8,9585,5062,32833,1.79,18,160.8,1618,398.5,3610.5,939,8891,12.7,613,4.6,103.5,3967,179,84,9.76,9.7,1.5,0.95,294.75,,4062,40776,20615,4014,30389,4488.5,26147,1006.5,7036,1023,6545,,,,107.7,31263,,53.1,186.5,
AMD Ryzen 7 1700X,Zen,Ryzen 7,4MB + 16MB,,95,3400 ‑ 3800,8/16,14,x86,,2479,UHD Graphics 750,~26.8,9076,4662,31950,1.73,16.95,154,1537,335,3280,,,10.83,576,4.89,109.4,3728,180,90.05,8.88,8.95,1.4,0.9,327.1,,3746,39624,19631,,,4277,24555,,,932,6275,,,,,,,,,
Intel Core i5-11260H,Tiger Lake-H,Tiger Lake,7.5MB + 12MB,,45,2600 ‑ 4400,6/12,10,x86,,948,UHD Graphics Xe 16EUs (Tiger Lake-H),~22.3,,,,,,,,,3831,,8990,,,,,,,,,,,,,,,,,,,,,,,1428,6358,,,,,,,,,
Apple M2,,Apple M2,20MB + 8MB,,20,2424 ‑ 3480,8/8,5,ARM,,553,M2 10-Core GPU,~55,,,,,,223,1215,381,2324,1585,8667,,,,,,,,,,,,597,619.5,,,,,,,,,,1917,8961,2621.5,10063.5,,,74614,226.8,392,377,226.5
AMD Ryzen 5 4600HS,Renoir-HS (Zen 2),Renoir (Ryzen 4000 APU),3MB + 8MB,,35,3000 ‑ 4000,6/12,7,x86,,1438,Vega 6,~31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4630,20170,,,1100,6345,,,,,,,,,
Intel Xeon E-2176M,Coffee Lake-H,Coffee Lake,1.5MB + 12MB,,45,2700 ‑ 4400,6/12,14,x86,,2115,UHD Graphics 630,~29.2,9757,6973,32132,2.04,12.29,187,1095,,,,,8.6,477,5.34,163.3,4624.5,203.55,63.05,8.72,6.85,1.1,0.68,509.9,,,,,,,4660,20689.5,,,,,,,,76.2,36101.5,,,,
Intel Core i7-11390H,Tiger Lake-H35,Tiger Lake,5MB + 12MB,,35,3400 ‑ 5000,4/8,10,x86,,835,Iris Xe G7 96EUs,~35.9,10150.5,9604,29456,2.78,10.68,232,953,614,2284,1602,5917,6.77,349.8,6.52,196.91,6374.5,232.3,58.55,7.61,6.05,0.91,0.56,513,1101,5682,25876,,,,7125.5,22986,1655,5025,1615.5,5235.5,2194,5630,,117.6,,,,266.5,204
Intel Core i7-11375H,Tiger Lake-H35,Tiger Lake,5MB + 12MB,,35,3300 ‑ 5000,4/8,10,x86,,1068,Iris Xe G7 96EUs,~39.4,,,,,,230,929,606,2569,1578,6663,,,,,,,,8.54,,,,473,,5565,28441,,,,6891,22937,1631,5975,1648,6098,,,,,,,,249,
AMD Ryzen 7 PRO 4750U,Renoir-U PRO (Zen 2),Renoir (Ryzen 4000 APU),4MB + 8MB,,15,1700 ‑ 4100,8/16,7,x86,,1317,Vega 7,~28.6,11008,8378.5,29573.5,2.12,15.78,181,1410,469,3203,1215,8359,10.04,673,3.95,108.9,4227,201.9,79.9,9.54,7.05,1.25,0.86,352,,4438,39649,,,,4995,25564,1167,6811,1149,6153,,,,,49781,139.8,133.5,205,
Apple M1,,Apple M-Series,16MB + 8MB,,,2064 ‑ 3220,8/8,5,ARM,,1130,M1 8-Core GPU,~49.9,,,,,,208,1072,402.5,2093.5,1514.5,7800.5,,,,,,,,,,,,561,964,5441,34614,,,,,,,,1730,7578,2363,8622,,76.4,62589.5,178.55,214,280.5,189
Intel Core i7-1195G7,Tiger Lake-UP3,Tiger Lake,5MB + 12MB,,28,2900 ‑ 5000,4/8,10,x86,,929,Iris Xe G7 96EUs,~35.1,9989,,,2.7,10.59,222,940,559,1932,1455,5337,6.75,354.2,8.17,281.4,6334,,,6.64,6.4,0.99,0.63,597.5,1105,5386,24669,,,,6894,20629.5,1605.5,5066,1536,4734,2064,7644,,118.3,69945,194.5,213,261,
Intel Core i7-11370H,Tiger Lake-H35,Tiger Lake,5MB + 12MB,,35,3300 ‑ 4800,4/8,10,x86,,1068,Iris Xe G7 96EUs,~41.3,10019,,,,,229,960,589,2199,1507,5712.5,,,,,,,,7.7,,,,491,783,5307,26791,,,,,,1380,4911,1556.5,5388,,,,,68903,193.5,199,263,205
Intel Core i5-1250P,Alder Lake-P,Alder Lake-P,10MB + 12MB,,28,1200 ‑ 4400,12/16,10,x86,,710,Iris Xe G7 80EUs,~31.7,11842,7918,38277,2.74,9.71,201,1528,536,2334,1521,7282,8.43,461.49,9.58,339.99,5561,201.07,79.64,6.77,9.5,1.9,1,511,,3532,24625,,,,7072,35532,1583,8778,1622,7672,,,,,,,,254,
Intel Core i5-1340P,Raptor Lake-P,Raptor Lake-P,9MB + 12MB,,28,1400 ‑ 4600,12/16,10,x86,,710,Iris Xe G7 80EUs,~39.9,11552,,,1.86,19.9,240.5,1756,655,4114,1710,10920.5,13.15,731.21,,,3503,228.93,95.23,12.4,9.3,1.6,0.88,299.5,570,5317,44767,,,,4246,29296,967,7117,1721.5,10020.5,,,,,85504,258.95,298,241.5,215.25
Intel Core i5-1240P,Alder Lake-P,Alder Lake-P,10MB + 12MB,,28,1200 ‑ 4400,12/16,10,x86,,710,Iris Xe G7 80EUs,~40,,8205,42275,2.85,22.09,225,1592,597.5,3173.5,1600,8337,8.3,438.9,10.1,329.9,17276,,,9.3,6.6,1.5,0.81,413.5,839.5,4738,33826,,,,7106,34828,1543,8275.5,1588,7848,,,,106,77844.5,236.09,245,261,228
Intel Core i5-1345U,Raptor Lake-U,Raptor Lake-U,9.5MB + 12MB,,15,1200 ‑ 4700,10/12,10,x86,,710,Iris Xe G7 80EUs,~46.7,,,,,,240,1311,660,2951,1724,7724,,,,,,,,8.78,,,,415,813,5296,34915,,,,7318,30701.5,1656,7692,1653,7738,,,,,,256.37,,277.5,242.5
Intel Core i7-1255U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,15,1200 ‑ 4700,10/12,10,x86,,710,Iris Xe G7 96EUs,~49.5,,,,,,238.5,1400,638,3131,1656,8332,,,,,,,,9.72,,,,383,723,5256,36825,,,,,,1610.5,7294.5,1650.5,7989.5,,,,97.3,82948,242.27,264,275,232
AMD Ryzen 5 PRO 6650U,Rembrandt-U PRO (Zen 3+),Rembrandt (Zen 3+),3MB + 16MB,,28,2900 ‑ 4500,6/12,6,x86,,604,Radeon 660M,~34.8,11322,6062,32262,2.79,16.19,232.5,1459.5,570,3427.5,1463,8854,7.94,712.15,7.74,243.3,5343,224.34,86.33,9.84,5.5,0.96,0.61,397,712.5,5228.5,37856.5,,,,5910,28857,1417,7218,1452.5,6488.5,,,,,72306,230.7,226,233.5,185.35
AMD Ryzen 5 7535U,Rembrandt R,Rembrandt (Zen 3+),3MB + 16MB,,28,2900 ‑ 4550,6/12,6,x86,,344,Radeon 660M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 6600U,Rembrandt-U (Zen 3+),Rembrandt (Zen 3+),3MB + 16MB,,28,2900 ‑ 4500,6/12,6,x86,,710,Radeon 660M,~35.8,9908,6242,32097,2.73,17.15,233,1493,570,3623,1456.5,9159.5,8.12,692.42,4.69,146.55,6937,212,71.45,11.7,9.3,1.3,0.86,415,488.5,5486,44320,,,,6382.5,33338,1481,8602.5,1483,7529,1977,8310,,,,,,274,217
Intel Core i3-1220P,Alder Lake-P,Alder Lake-P,9.5MB + 12MB,,28,1100 ‑ 4400,10/12,10,x86,,710,UHD Graphics 64EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-1245U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,15,1200 ‑ 4400,10/12,10,x86,,710,Iris Xe G7 80EUs,~37.2,12162,8303,37663,2.92,16.2,242,1311,649,3153,1690,8199,8.39,442.77,5.44,229.1,6154,263,78.35,9.47,9.2,1.5,0.87,388,712,5097,35918,,,,7065,33040,1585,8911,1675,9065,,,,,,,,271,240
Intel Core i5-1335U,Raptor Lake-U,Raptor Lake-U,9.5MB + 12MB,,15,900 ‑ 4600,10/12,10,x86,,710,Iris Xe G7 80EUs,~41.4,12286,9351,40266,2.97,18.94,236,1472,643,3319,1684,7783,7.37,423.06,8.03,507.82,5178,256.95,81.84,9.2,9.5,1.7,0.87,414,804,5149,34186,,,,7007,30532,1641.5,8225,1672,7865,2312,8649,,64.5,83996,259.02,306,260,232
Intel Core i5-1334U,Raptor Lake-U,Raptor Lake-U,9.5MB + 12MB,,15,900 ‑ 4600,10/12,10,x86,,710,Iris Xe G7 80EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i7-1185G7,Tiger Lake-UP3,Tiger Lake,5MB + 12MB,,28,3000 ‑ 4800,4/8,10,x86,,1199,Iris Xe G7 96EUs,~32,9108,8872,27024.5,2.54,9.33,217,866,558.5,2090,1455.5,5383.5,7.12,380.38,5.78,240.41,6045,198.8,46.6,6.64,5.8,0.81,0.5,578.5,1102.5,5153,23471,,,,6437,22175,1531.5,5578.5,1529,5550,,,,,61608,172.8,166.5,253,189.9
Intel Core i7-8850H,Coffee Lake-H,Coffee Lake,1.5MB + 9MB,,45,2600 ‑ 4300,6/12,14,x86,,2113,UHD Graphics 630,~30.4,10516,6766,34216.5,2.04,13.85,181.5,1090,441,2522,1096,5742,8.7,483,,,5922,216.1,71.35,7.61,7.4,1.2,0.73,490.1,,4689,30851,,,,5261,22631.5,1006,4860,1121,4908,,,,76.1,35232,,108.1,194,
Intel Core i5-8600K,Coffee Lake-S,Coffee Lake,1.5MB + 9MB,,95,3600 ‑ 4300,6/6,14,x86,,2535,UHD Graphics 630,~28.1,9078,6875,32863,2.07,10.76,181,989.5,,,,,8.76,496.45,5.69,188.8,4583,232.65,63.35,,5.4,0.89,0.53,,,,,,4217,18970,,,,,,,,,,68.1,,,,,
Intel Core i5-8500,Coffee Lake-S,Coffee Lake,1.5MB + 9MB,,65,3000 ‑ 4100,6/6,14,x86,,2083,UHD Graphics 630,~25.9,9903,8606,40829,1.96,10.21,172,950,,,,,9.22,541,26.52,848,4219,206.5,,7.86,5,0.87,0.52,494.8,,4513,23200,,,,,,,,,,,,,,,,,,
Intel Core i7-8750H,Coffee Lake-H,Coffee Lake,1.5MB + 9MB,,45,2200 ‑ 4100,6/12,14,x86,,2113,UHD Graphics 630,~31,10294.5,6471,33595,1.98,12.33,173,1116,412.5,2336.5,,,9.33,524,5.48,156.8,5310,200.3,67.2,7.8,7,1.2,0.72,469.25,,4629,31144,,4008,21920,5040,21648,,,1050,4820,,,,83,34163,,64.5,213,
AMD Ryzen 7 4700U,Renoir-U (Zen 2),Renoir (Ryzen 4000 APU),4MB + 8MB,,15,2000 ‑ 4100,8/8,7,x86,,1438,Vega 7,~31.7,8629,5524,24770.5,2.1,12.56,180,1094.5,466,2647,1220.5,7378,10.01,599,7.89,265.7,3963,191.3,57.4,8.43,5.25,1.01,0.64,477.5,858,4361.5,30954,16771,4351,20656,4841,21001,1128,5018,1131,5656,,,,90.4,43380.5,147,134.3,203,
AMD Ryzen 5 7530U,Barcelo-U Refresh,"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,15,2000 ‑ 4500,6/12,7,x86,,344,Vega 7,~44.2,,,,,,230.5,1457.5,565,3288,1443,8418.5,,,,,,,,10.7,,,,362,674,5339,37983,,,,,,1376.5,6396.5,1479,6390,1941,6500,,,72262,229.15,252,264,209
AMD Ryzen 5 PRO 7530U,Barcelo-U Refresh,"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,15,2000 ‑ 4500,6/12,7,x86,,344,Vega 7,~40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,5548,,,,,,,
Intel Core i7-1165G7,Tiger Lake-UP3,Tiger Lake,5MB + 12MB,,28,2800 ‑ 4700,4/8,10,x86,,1200,Iris Xe G7 96EUs,~33.6,7454,8645,22636,2.49,7.94,218,850,564,1996.5,1457.5,5216,7.21,395.21,8.36,288.14,5717,197.95,46.3,6.45,5.7,0.82,0.46,587,1150,5217,23460,,,,6560.5,21250.5,1533,5200,1532.5,5174.5,,,,135.1,64672,173.7,178.45,253,199.4
Apple A17 Pro,Coll APL1V02,Apple A-Series,,,,2110 ‑ 3780,6/6,3,ARM,,99,A17 Pro GPU,~55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138,5305,2915,7222,13067,,87691,302.57,420.5,302.5,
Intel Core i5-1155G7,Tiger Lake-UP3,Tiger Lake,5MB + 8MB,,28,2500 ‑ 4500,4/8,10,x86,,929,Iris Xe G7 80EUs,~43.3,,,,,,211,890,550,2173,1419,5612,,,,,,,,7.49,,,,540,1011,4941,24992,,,,6305.5,22182,,,1473,5761,,,,,,205.85,233,244,190.05
Intel Core i7-10810U,Comet Lake-U,Comet Lake,1MB + 12MB,,15,1100 ‑ 4900,6/12,14,x86,,1311,UHD Graphics 620,~26.9,6842.5,6926.5,19286.5,1.95,6.98,182,754,424,1713,1118.5,4310.5,7.98,510.87,5.9,236.33,4837,147.65,39.43,5.2,5.7,0.98,0.6,694,1346,4498,21925,,,,5203,22485,1233,5168,1226,3934,1563,4090,,,,,,206,161.3
Intel Core i7-10710U,Comet Lake-U,Comet Lake,1MB + 12MB,,15,1100 ‑ 4700,6/12,14,x86,,1566,UHD Graphics 620,~26.1,10451,6972,31643.5,2.18,11.81,176,1059,460,2303,863,4079,8.19,507,5.24,174.25,4656.5,204,60.5,5.81,6.4,1.2,0.71,618,,4642,24493,,,,4615,17420,1043,4258,1227,5207,,,,,37343.5,150.3,,219,
AMD Ryzen 7 1700,Zen,Ryzen 7,4MB + 16MB,,65,3000 ‑ 3700,8/16,14,x86,,2479,UHD Graphics 750,~27.8,8335,4419,29330,1.66,15.7,147,1414,,,,,11.75,635.5,6,120,3447,153.85,74.4,,7.2,1.3,0.83,,,,,18461,3343,23920,3884,18457,,,,,,,,84.6,32176,,,,
AMD Ryzen 5 2600X,Zen+,Ryzen 5,4MB + 16MB,,95,3600 ‑ 4200,6/12,12,x86,,2073,UHD Graphics 750,~26.1,,4958,29954,1.81,14.56,163,1341,421,2688,,,11.35,616,4.62,133.8,4599,207.4,80.5,8.3,8,1.2,0.78,351.95,,4293,33222,,,,4641.5,22301,1067,5939,1144.5,6094,,,,,,,,186,
Intel Core i5-8400,Coffee Lake-S,Coffee Lake,1.5MB + 9MB,,65,2800 ‑ 4000,6/6,14,x86,,2535,UHD Graphics 630,~25.1,9474,6363.5,30789.5,1.9,10.99,169.5,941,,,,,9.5,526,6.2,191.8,5173,223.8,61.4,,5,0.83,0.5,488,,,,,,,5104,20500,,,,,,,,,,,,,
Intel Core i5-1235U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,15,900 ‑ 4400,10/12,10,x86,,710,Iris Xe G7 80EUs,~47.7,,,,,,214,1086,620,2797,1610,5902,,,,,,,,9.18,,,,448,859,5083,31892,,,,,,1592,7643,1572,6220,2208,7046,,99.6,80117,232.37,265,261,231
AMD Ryzen 5 5625U,Barcelo-U (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,15,2300 ‑ 4300,6/12,7,x86,,710,Vega 7,~35.9,11440,5806,29724,2.64,15.89,223,1447,544,3224,1379,8290,9.84,519.24,6.46,206.52,6340.5,229.1,82.1,10.3,6.15,1,0.65,365,653,5246,37708,,,,5812,24531,1384,6032,1417,5947,,,,105.8,69094.5,220.57,215.55,260,203
AMD Ryzen 5 5625C,Barcelo (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,25,2300 ‑ 4300,6/12,7,x86,,589,Vega 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 5600U,Cezanne-U (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,25,2300 ‑ 4200,6/12,7,x86,,1072,Vega 7,~33.3,11308,2866.25,28347,2.63,14.78,223,1321,534,3067,1371,7792.5,8.66,454.57,5.38,156.33,6858,235,78.48,9.84,7.7,1.1,0.78,412.5,798,5204.5,37815.5,,,,5854,24495,1371,6117,1391,5773,,,,,65343,197.3,185.9,255.5,200
AMD Ryzen 5 PRO 5675U,Barcelo-U PRO (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,15,2300 ‑ 4300,6/12,7,x86,,1072,Vega 7,~44.1,,,,,,215.5,1326,537,2991.5,1387.5,7866.5,,,,,,,,9.45,,,,390.5,716,5093.5,35208.5,,,,5814,23357,1341,5207,1363.5,5227,,,,109.2,66431.5,210.98,212.5,241,192.55
AMD Ryzen 5 PRO 5650U,Cezanne-U PRO (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,15,2300 ‑ 4200,6/12,7,x86,,1072,Vega 7,~28.6,11124,2.24,12.47,2.6,14.19,218,1207,531,2488,1363,6429,8.61,475.8,8.21,270.4,5905,216.1,70.6,8.39,7.9,1.1,0.76,443.1,,5031,35235,,,,5726,24383,1341,5874,1353,5736,,,,,65444,,,246,
AMD Ryzen 5 5560U,Cezanne-U (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,25,2300 ‑ 4000,6/12,7,x86,,1072,Vega 6,~43.5,,,,,,202,1280,498,3019,1260,7667,,,,,,,,10,,,,392,677,4740,38281,,,,,,,,1318,5955,1765,6723,,,,239.48,,250,192.4
Intel Core i7-1260U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,9,800 ‑ 4700,10/12,10,x86,,710,Iris Xe G7 96EUs,~42.3,,,,,,222,1117,588,2838,1538,7444,,,,,,,,8.54,,,,431,801,4746,32008,,,,,,1555,7077,1560,7072,,,,,,224.23,,236,213
Intel Core i7-1250U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,9,800 ‑ 4700,10/12,10,x86,,710,Iris Xe G7 96EUs,~45.1,,,,,,226,1222,611.5,2874,1567.5,7402,,,,,,,,8.55,,,,454.5,840,4780,31380,,,,,,1547,7072,1627,7019.5,,,,,81256,226.25,255,268.5,230
AMD Ryzen 5 4680U,Renoir-U (Zen 2),Renoir (Ryzen 4000 APU),3MB + 8MB,,15,2200 ‑ 4000,6/12,7,x86,,976,Vega 7,~27.2,,5301,31826,2,15.63,170,1291,451,2478,1163,7073,10.5,581,8.2,248.6,3576,,,7.66,8.3,1.4,1.2,458,,4077,32745,,,,,,,,1078,5785,,,,,47184,133.8,123.5,198,
AMD Ryzen 5 2600,Pinnacle Riege (Zen+),Ryzen 5,3MB + 16MB,,65,3400 ‑ 3900,6/12,12,,,2072,UHD Graphics 750,~25.2,9290,4726,28173,1.76,13.71,157.3,1248,380,2793,,,11.17,615,5.5,140.9,4517,205.3,75,7.81,7.5,1,0.73,374.95,,4020,30898,,,,5109,23018,1020,5885,1118.5,6069.5,,,,,,,,179,
Intel Core i5-11400T,Rocket Lake,Rocket Lake,3MB + 12MB,,35,1300 ‑ 3700,6/12,14,x86,,1004,UHD Graphics 730,~22.2,7263,6122,20362,1.79,7.3,153,642,378,1500,972,3891,10.09,543.45,7.8,261.3,4409,154.5,40,5.24,4.2,0.65,0.41,704,,4157,19699,,,,4855,17082,1130,3495,1146,3510,,,,,,,,208,
AMD Ryzen 5 5500U,Lucienne-U (Zen 2),"Lucienne (Zen 2, Ryzen 5000)",3MB + 8MB,,25,2100 ‑ 4000,6/12,7,x86,,1072,Vega 7,~28.1,9184.5,5313,27437,1.99,11.41,177,1247,457,2698,1172,7186,10.46,574,6.22,181.3,3945,162.3,45.31,8.48,4.3,0.82,0.54,416.5,748.5,4324,33768,,,,4798,21901,1119.5,5515,1108,5438.5,,,,,50330,149.45,153.9,206,156.3
AMD Ryzen 5 4600U,Renoir-U (Zen 2),Renoir (Ryzen 4000 APU),3MB + 8MB,,15,2100 ‑ 4000,6/12,7,x86,,1438,Vega 6,~36.1,,,,,,175.5,1089,447,2544,,,,,,,,,,8.8,,,,402,,4247,34854,,,,,,,,1105,5591,,,,,,,,199,
AMD Ryzen 5 PRO 4650U,Renoir-U PRO (Zen 2),Renoir (Ryzen 4000 APU),3MB + 8MB,,15,2100 ‑ 4000,6/12,7,x86,,1317,Vega 6,~30.1,10182,5289,27559,2.02,12.94,175,1161,453.5,2599,,,7.2,366,,,3795,,,7.9,5.4,1.2,0.81,428.5,,4223,31980,,4010,22199,4475,19220,,,1071,4648.5,,,,,44814.5,124.3,124.9,186,
Intel Core i5-11320H,Tiger Lake-H35,Tiger Lake,5MB + 8MB,,35,3200 ‑ 4500,4/8,10,x86,,835,Iris Xe G7 96EUs,~32.9,10886,8767,32576,2.51,10.78,214,905.5,560.5,2267.5,1460.5,5852,7.51,389.7,5.9,191.4,5481,,,7.57,6.1,0.92,0.53,528.5,995,5025,24760,,,,6238,22045,1493.5,5259,1505,5308,,,,,67714,204.59,,260.5,206
Qualcomm Snapdragon 8 Gen 3,Cortex-X4 / A720 / A720 / A520 (Kryo),Snapdragon,+ 8MB,,,2300 ‑ 3300,8/8,4,ARM v9,,57,Adreno 750,~46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,6439,2303.5,7188,,,54365,202,226,254,181
Intel Core i5-11300H,Tiger Lake-H35,Tiger Lake,5MB + 8MB,,35,3100 ‑ 4400,4/8,10,x86,,1068,Iris Xe G7 80EUs,~34.2,10250,8663,30491,2.48,10.97,187,961,529,2247.5,1378,5702,7.98,404.7,,,4926,215.6,58.9,7.32,5.3,0.78,0.45,530,,4930.5,24688.5,,,,6019,18976,,,1415,4749,,,,163.2,62911,183.8,188,238,
Intel Core i5-1240U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,9,800 ‑ 4400,10/12,10,x86,,710,Iris Xe G7 80EUs,~43.2,,,,,,226,1242,596,2990,1559,7902,,,,,,,,9.13,,,,407,744,4446,31097,,,,,,1547,7029,1596,7066,,,,,,235.82,,266,221
Intel Core i5-1230U,Alder Lake-U,Alder Lake-M,9.5MB + 12MB,,9,700 ‑ 4400,10/12,10,x86,,710,Iris Xe G7 80EUs,~31.7,6641,7290,17243,,,186.8,514,469,1653,1310,4402,7,365,14,576,4985,152.65,41.8,5.96,,,,754,1458.5,3969,20092,,5120,21447,,,1471.5,5505.5,1529,6755,,,,,,193.59,,233.5,204.2
Intel Core i3-1315U,Raptor Lake-U,Raptor Lake-U,5MB + 10MB,,15,900 ‑ 4500,6/8,10,x86,,346,UHD Graphics 64EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-1215U,Alder Lake-U,Alder Lake-M,5MB + 10MB,,15,900 ‑ 4400,6/8,10,x86,,710,UHD Graphics 64EUs,~36.3,,7879,19430,2.79,10.99,217.5,809,581.5,1966,1511.5,5181.5,7.27,372.38,3.41,98.31,7944,199.3,50.05,5.32,11.6,1.7,1.1,664.5,1249.5,5031.5,22883,,,,6801,23138,1501,6005,1539,5258.5,2082,5213,,,78716,254.6,281,312,237.5
Intel Core i5-10400H,Comet Lake-H,Comet Lake,1MB + 8MB,,45,2600 ‑ 4600,4/8,14,x86,,1352,UHD Graphics 630,~25.6,9578,7403,25731,2.18,9.62,192,796,471,1924,,,8.14,484.5,24.93,801,4115,191.4,49.05,6.14,5.3,0.95,0.55,565,,4766,23136,,,,,,,,1245,4332,,,,,,,,,
Intel Core i3-10320,Comet Lake-S,Comet Lake,1MB + 7.9MB,,65,3800 ‑ 4600,4/8,14,x86,,1304,UHD Graphics 630,~32,9911,7164,28383,2.1,10.5,188,949,458,2320,1185,5986,9.73,516,,,,218,58.8,8.16,5.3,0.91,0.53,469,,4899,25864,,,,,,,,1217,4846,,,,160,,149.4,168,224,
