Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
Intel Xeon E-2186M,Coffee Lake-H,Coffee Lake,1.5MB + 12MB,,45,2900 ‑ 4800,6/12,14,x86,,2115,UHD Graphics 630,~23,,,,,,,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,5239,,,,,,,,,
Intel Xeon E-2276M,Coffee Lake-H,Coffee Lake,1.5MB + 12MB,,45,2800 ‑ 4700,6/12,14,x86,,1689,UHD Graphics P630,~40.1,,,,,,195,1242.5,484,2782.5,,,,,,,,,,9.68,,,,384,,5214,33994,,,,5218,24150,,,1303,6595,,,,,56114,164.1,,220,
Intel Xeon W-2145,Skylake-W,Xeon,8MB + 11MB,,140,3700 ‑ 4500,8/16,14,x86,,2299,UHD Graphics 750,~45.1,,,,,,177,1682,,,,,,,,,,,,,,,,,,,,,,,4996,34132,,,1192,9146,,,,90.9,46837,,,,
Intel Core i7-10850H,Comet Lake-H,Comet Lake,1.5MB + 12MB,,45,2700 ‑ 5100,6/12,14,x86,,1352,UHD Graphics 630,~30,9471,7653,34586,2.25,12.22,203,1232,494,2636,,,7.7,431.6,,,5519,,,8.37,7.8,1.3,0.81,425,,5241,30988,,,,,,,,1305,5753,,,,,,,,,
Intel Xeon W-10855M,Comet Lake-H,Comet Lake,1.5MB + 12MB,,45,2800 ‑ 5100,6/12,14,x86,,1311,UHD Graphics P630,~32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,6231,,,,,,,,,
Intel Core i7-10750H,Comet Lake-H,Comet Lake,1.5MB + 12MB,,45,2600 ‑ 5000,6/12,14,x86,,1352,UHD Graphics 630,~29.7,11307,7376.5,37154,2.2,13.92,197,1303.5,472,2941,1217,7463.5,8.3,466.6,5.56,142.7,6287,221.2,78.3,9.89,7.6,1.3,0.77,371,,5120,35346,,,,5600.5,24897,1253,6338.5,1270,6308,,,,,53724.5,152.65,136.9,225,
AMD Ryzen 7 4800U,Renoir-U (Zen 2),Renoir (Ryzen 4000 APU),4MB + 8MB,,15,1800 ‑ 4200,8/16,7,x86,,1438,Vega 8,~28.9,10227,5690,33649,2.15,17.84,183,1411,480,3230.5,1235,8376,9.73,585,3.63,99.5,3881,196.1,88.5,10.4,10.2,1.5,1.1,340,,4436,40117,,,,4963,27286.5,1162,7298,1156.5,6136.5,,,,,36619,133.45,,208,
Intel Core i7-8700,Coffee Lake-S,Coffee Lake,1.5MB + 12MB,,65,3200 ‑ 4600,6/12,14,x86,,2535,UHD Graphics 630,~33.8,11193,7171,35384,2.17,12.97,192,1199,,,,,8.36,472.2,6.77,198.4,6332,234.6,75.2,9.53,7.7,1.3,0.8,388.2,,,,,4486,23061.5,5565,23220,,,1170,6250,,,,64.5,,,,,
Intel Core i5-10500H,Comet Lake-H,Comet Lake,+ 12MB,,45,2500 ‑ 4500,6/12,14,x86,,1352,UHD Graphics 630,~27.9,11157,7109,37125,2.1,13.84,186.25,1249,448,2919,1159.5,7103.5,8.59,485.6,9.13,281,6194,227.5,77.8,9.52,4.1,0.94,0.58,385.5,,4885.5,33445,,,,5501,25696,1200,6233,1205.5,6332,,,,,,,,223.5,
Intel Core i5-9600K,Coffee Lake-R,Coffee Lake,1.5MB + 9MB,,95,3700 ‑ 4600,6/6,14,x86,,1894,UHD Graphics 630,~27,10974,7205,33950,2.24,10.98,193,1094,,,,,7.74,421.1,6.03,176.2,5903,250,68.8,8.02,5.6,0.63,0.43,444.4,,,,,,,5916,23810,,,1217,5855,,,,,,,,,
