id,name,passmark
1746,AMD Opteron 2356,1733
3187,AMD Opteron 2373 EE,1744
1407,AMD Opteron 2378,1864
1750,AMD Opteron 2384,2074
1894,AMD Opteron 2393 SE,1317
2322,AMD Opteron 2419 EE,1902
1408,AMD Opteron 2427,1995
1753,AMD Opteron 2431,2936
1875,AMD Opteron 2435,3061
1806,AMD Opteron 254,451
1436,AMD Opteron 270,736
521,AMD Opteron 275,839
522,AMD Opteron 280,765
523,AMD Opteron 285,956
524,AMD Opteron 290,952
3445,AMD Opteron 3250 HE,2061
1795,AMD Opteron 3260 HE,2283
276,AMD Opteron 3280,3723
2791,AMD Opteron 3320 EE,1918
1931,AMD Opteron 3350 HE,2825
2426,AMD Opteron 3365,4091
1892,AMD Opteron 3380,4134
2782,AMD Opteron 4130,2347
2477,AMD Opteron 4162 EE,2058
1565,AMD Opteron 4170 HE,2382
5511,AMD Opteron 4174 HE,2986
278,AMD Opteron 4184,2872
1882,AMD Opteron 4226,3400
279,AMD Opteron 4274 HE,5776
2148,AMD Opteron 4280,4504
1862,AMD Opteron 4284,4665
2593,AMD Opteron 4332 HE,3906
2733,AMD Opteron 4334,3949
2991,AMD Opteron 4365 EE,3485
2264,AMD Opteron 4386,4378
280,AMD Opteron 6128,2826
2525,AMD Opteron 6128 HE,2932
1941,AMD Opteron 6136,3381
1948,AMD Opteron 6164 HE,3478
282,AMD Opteron 6172,2615
1916,AMD Opteron 6174,3697
1568,AMD Opteron 6176 SE,3564
1905,AMD Opteron 6212,4007
1980,AMD Opteron 6220,4753
283,AMD Opteron 6234,4072
2445,AMD Opteron 6238,5625
1569,AMD Opteron 6272,5240
284,AMD Opteron 6274,5643
1880,AMD Opteron 6276,6245
3419,AMD Opteron 6281,7279
1846,AMD Opteron 6282 SE,6385
2469,AMD Opteron 6287 SE,6925
1982,AMD Opteron 6328,5306
1978,AMD Opteron 6344,6069
1903,AMD Opteron 6348,7850
2204,AMD Opteron 6366 HE,5613
2000,AMD Opteron 6376,5572
2482,AMD Opteron 6378,5889
2498,AMD Opteron 6380,6738
2294,AMD Opteron 6386 SE,8291
1851,AMD Opteron 8439 SE,2479
3321,AMD Opteron X2170 APU,1911
3069,AMD Opteron X3216 APU,1475
3422,AMD Opteron X3418 APU,3043
3026,AMD Opteron X3421 APU,3375
285,AMD Phenom 8250 Triple-Core,1114
286,AMD Phenom 8250e Triple-Core,1084
287,AMD Phenom 8400 Triple-Core,1164
288,AMD Phenom 8450 Triple-Core,1216
289,AMD Phenom 8450e Triple-Core,1225
291,AMD Phenom 8600 Triple-Core,1210
292,AMD Phenom 8600B Triple-Core,1461
293,AMD Phenom 8650 Triple-Core,1237
294,AMD Phenom 8750 Triple-Core,1427
295,AMD Phenom 8750B Triple-Core,1188
1572,AMD Phenom 8850 Triple-Core,1142
296,AMD Phenom 8850B Triple-Core,1281
297,AMD Phenom 9100e Quad-Core,1279
298,AMD Phenom 9150e Quad-Core,1414
299,AMD Phenom 9350e Quad-Core,1501
300,AMD Phenom 9450e Quad-Core,1455
301,AMD Phenom 9500 Quad-Core,1549
302,AMD Phenom 9550 Quad-Core,1656
303,AMD Phenom 9600 Quad-Core,1566
304,AMD Phenom 9600B Quad-Core,1822
305,AMD Phenom 9650 Quad-Core,1713
306,AMD Phenom 9750 Quad-Core,1844
1573,AMD Phenom 9750B Quad-Core,1520
307,AMD Phenom 9850 Quad-Core,1710
1574,AMD Phenom 9850B Quad-Core,1946
308,AMD Phenom 9950 Quad-Core,1884
309,AMD Phenom FX-5000 Quad-Core,1599
310,AMD Phenom FX-5200 Quad-Core,1699
313,AMD Phenom II N620 Dual-Core,1014
314,AMD Phenom II N640 Dual-Core,965
315,AMD Phenom II N660 Dual-Core,1063
2320,AMD Phenom II N830 3+1,1768
316,AMD Phenom II N830 Triple-Core,1233
317,AMD Phenom II N850 Triple-Core,1166
318,AMD Phenom II N870 Triple-Core,1281
319,AMD Phenom II N930 Quad-Core,1584
320,AMD Phenom II N950 Quad-Core,1558
321,AMD Phenom II N970 Quad-Core,1662
322,AMD Phenom II P650 Dual-Core,933
323,AMD Phenom II P820 Triple-Core,1068
324,AMD Phenom II P840 Triple-Core,1116
325,AMD Phenom II P860 Triple-Core,1225
326,AMD Phenom II P920 Quad-Core,1006
327,AMD Phenom II P940 Quad-Core,1319
328,AMD Phenom II P960 Quad-Core,1386
329,AMD Phenom II X2 511,1265
330,AMD Phenom II X2 521,1374
331,AMD Phenom II X2 545,1218
332,AMD Phenom II X2 550,1158
333,AMD Phenom II X2 555,1318
334,AMD Phenom II X2 560,1375
335,AMD Phenom II X2 565,1442
2675,AMD Phenom II X2 570,1360
