id,name,passmark
gpu4045,GeForce GTX 1660 Ti,12954
gpu4091,GeForce GTX 1660 Ti (Mobile),10209
gpu4082,GeForce GTX 1660 Ti with Max-Q Design,8681
gpu17,GeForce GTX 260,1229
gpu83,GeForce GTX 260M,379
gpu21,GeForce GTX 275,1430
gpu66,GeForce GTX 280,1299
gpu1443,GeForce GTX 280M,575
gpu1444,GeForce GTX 285,1516
gpu1445,GeForce GTX 285M,650
gpu1446,GeForce GTX 295,1190
gpu31,GeForce GTX 460,2253
gpu123,GeForce GTX 460 SE,2011
gpu1447,GeForce GTX 460 v2,1871
gpu93,GeForce GTX 460M,1235
gpu82,GeForce GTX 465,2678
gpu55,GeForce GTX 470,3089
gpu1448,GeForce GTX 470M,1953
gpu100,GeForce GTX 480,4061
gpu1449,GeForce GTX 480M,1617
gpu1450,GeForce GTX 485M,2359
gpu16,GeForce GTX 550 Ti,1540
gpu1451,GeForce GTX 555,1571
gpu71,GeForce GTX 560,2721
gpu106,GeForce GTX 560 SE,1914
gpu18,GeForce GTX 560 Ti,3037
gpu1452,GeForce GTX 560M,1221
gpu15,GeForce GTX 570,3933
gpu1453,GeForce GTX 570M,1863
gpu68,GeForce GTX 580,4547
gpu1455,GeForce GTX 580M,2074
gpu1457,GeForce GTX 590,3341
gpu2513,GeForce GTX 645,1870
gpu2155,GeForce GTX 650,1754
gpu2177,GeForce GTX 650 Ti,2529
gpu2479,GeForce GTX 650 Ti BOOST,3341
gpu2152,GeForce GTX 660,3998
gpu88,GeForce GTX 660 Ti,4397
gpu1458,GeForce GTX 660M,1436
gpu35,GeForce GTX 670,5320
gpu1459,GeForce GTX 670M,1718
gpu2296,GeForce GTX 670MX,1943
gpu1460,GeForce GTX 675M,1924
gpu2349,GeForce GTX 675MX,2744
gpu41,GeForce GTX 680,5549
gpu1461,GeForce GTX 680M,3215
gpu3832,GeForce GTX 680M KY_Bullet Edition,3568
gpu2356,GeForce GTX 680MX,4142
gpu1462,GeForce GTX 690,5579
gpu2843,GeForce GTX 745,2147
gpu2825,GeForce GTX 750,3363
gpu2815,GeForce GTX 750 Ti,3902
gpu2561,GeForce GTX 760,4782
gpu2801,GeForce GTX 760 Ti,5191
gpu4108,GeForce GTX 760 Ti OEM,5427
gpu3186,GeForce GTX 760A,1226
gpu2597,GeForce GTX 760M,1709
gpu2537,GeForce GTX 765M,1992
gpu2531,GeForce GTX 770,5915
gpu2534,GeForce GTX 770M,2771
gpu2729,GeForce GTX 775M,3551
gpu2525,GeForce GTX 780,8020
gpu2717,GeForce GTX 780 Ti,9495
gpu2536,GeForce GTX 780M,3878
gpu3213,GeForce GTX 850A,1049
gpu2859,GeForce GTX 850M,2517
gpu2968,GeForce GTX 850M - MODDED,1091
gpu2866,GeForce GTX 860M,3030
gpu2833,GeForce GTX 870M,3448
gpu2850,GeForce GTX 880M,3804
gpu3295,GeForce GTX 950,5340
gpu3334,GeForce GTX 950A,2598
gpu3171,GeForce GTX 950M,2581
gpu3114,GeForce GTX 960,6048
gpu3404,GeForce GTX 960A,2410
gpu3176,GeForce GTX 960M,3397
gpu3113,GeForce GTX 965M,3744
gpu2954,GeForce GTX 970,9647
gpu2981,GeForce GTX 970M,5722
gpu3965,GeForce GTX 970XM FORCE,6706
gpu2953,GeForce GTX 980,11134
gpu3218,GeForce GTX 980 Ti,13828
gpu2976,GeForce GTX 980M,7341
gpu2433,GeForce GTX Titan,8211
gpu2842,GeForce GTX TITAN Black,9016
gpu3162,GeForce GTX TITAN X,13059
gpu2884,GeForce GTX TITAN Z,8986
gpu3860,GeForce MX110,1453
gpu3890,GeForce MX130,1864
gpu3789,GeForce MX150,2277
gpu4036,GeForce MX230,1838
gpu4076,GeForce MX250,2438
gpu4203,GeForce MX330,2461
gpu4194,GeForce MX350,2808
gpu4296,GeForce MX450,3729
gpu4493,GeForce MX550,4610
gpu4560,GeForce MX570,6020
gpu4595,GeForce MX570 A,6177
gpu1463,GeForce PCX 5300,6
gpu1464,GeForce PCX 5750,34
gpu1465,GeForce PCX 5900,34
gpu4501,GeForce RTX 2050,7352
gpu4037,GeForce RTX 2060,14125
gpu4085,GeForce RTX 2060 (Mobile),11354
gpu4602,GeForce RTX 2060 12GB,15904
gpu4117,GeForce RTX 2060 SUPER,16581
gpu4199,GeForce RTX 2060 with Max-Q Design,9787
